firstname;lastname;IBAN;category;amount;name;description;date
Laura;Succamore;BE06 8908 3856 3249;Toys;-1.061,72;Lind, Kutch and Streich;morbi porttitor lorem id;1/02/2021
Laura;Succamore;BE06 8908 3856 3249;Computers;-500,17;Zemlak, Raynor and Zieme;magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus;18/09/2020
Laura;Succamore;BE06 8908 3856 3249;Beauty;-724,17;Monahan-Turner;faucibus orci luctus et ultrices posuere cubilia curae donec;13/08/2020
Laura;Succamore;BE06 8908 3856 3249;Beauty;-242,02;Parker, Grimes and Sporer;urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat;13/11/2020
Laura;Succamore;BE06 8908 3856 3249;Garden;-1.262,34;Hills Inc;at vulputate vitae nisl aenean lectus pellentesque;14/09/2020
Laura;Succamore;BE06 8908 3856 3249;Beauty;300,12;Balistreri, Collins and Reichel;cras pellentesque volutpat dui;13/12/2020
Laura;Succamore;BE06 8908 3856 3249;Jewelery;323,71;Williamson-Grant;eros viverra eget congue eget semper rutrum nulla nunc purus;3/07/2020
Laura;Succamore;BE06 8908 3856 3249;Outdoors;8,4;Rosenbaum-Nitzsche;aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque;18/01/2021
Laura;Succamore;BE06 8908 3856 3249;Kids;-760,68;Volkman-Berge;;18/02/2021
Laura;Succamore;BE06 8908 3856 3249;Toys;-310,3;Hamill, Beatty and Bailey;ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae;3/01/2021
Laura;Succamore;BE06 8908 3856 3249;Baby;88,84;Becker, Mohr and Stark;imperdiet et commodo vulputate justo in blandit;26/04/2020
Laura;Succamore;BE06 8908 3856 3249;Grocery;-530,03;Crooks and Sons;venenatis non sodales sed tincidunt eu felis fusce posuere felis sed;4/03/2020
Laura;Succamore;BE06 8908 3856 3249;Outdoors;-526,62;Windler-Toy;ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est;1/03/2020
Laura;Succamore;BE06 8908 3856 3249;Sports;-690,49;Kunde-Hintz;diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis;20/01/2021
Laura;Succamore;BE06 8908 3856 3249;Tools;450,94;Eichmann, Schoen and Mayer;volutpat erat quisque erat eros viverra;8/02/2021
Laura;Succamore;BE06 8908 3856 3249;Kids;162,09;Hahn-Dickens;vestibulum velit id pretium iaculis diam erat fermentum justo nec;4/06/2020
Laura;Succamore;BE06 8908 3856 3249;Sports;382,56;Mante LLC;aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et;8/12/2020
Laura;Succamore;BE06 8908 3856 3249;Tools;-860,11;Cassin LLC;id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit;20/06/2020
Laura;Succamore;BE06 8908 3856 3249;Automotive;-1.041,67;Robel Group;magna bibendum imperdiet nullam orci pede venenatis non sodales;15/02/2021
Laura;Succamore;BE06 8908 3856 3249;Toys;-231,85;VonRueden, Sporer and Kutch;lacus purus aliquet at feugiat non pretium quis lectus suspendisse;28/04/2020
Laura;Succamore;BE06 8908 3856 3249;Computers;-1.237,96;Mohr Inc;eleifend luctus ultricies eu nibh quisque id justo sit;22/03/2020
Laura;Succamore;BE06 8908 3856 3249;Games;-225,34;Kutch Group;nisi vulputate nonummy maecenas tincidunt lacus at;23/05/2020
Laura;Succamore;BE06 8908 3856 3249;Jewelery;-1.139,05;Hagenes and Sons;sem fusce consequat nulla nisl nunc nisl duis;19/04/2020
Laura;Succamore;BE06 8908 3856 3249;Kids;406,56;Terry Group;nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse;27/09/2020
Laura;Succamore;BE06 8908 3856 3249;Grocery;-170,54;Spencer-Bednar;sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis;23/11/2020
Laura;Succamore;BE06 8908 3856 3249;Shoes;-826,67;Rice Inc;vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien;30/10/2020
Laura;Succamore;BE06 8908 3856 3249;Clothing;70,52;West Group;vestibulum proin eu mi nulla ac enim in tempor turpis;14/03/2020
Laura;Succamore;BE06 8908 3856 3249;Movies;-343,99;Lowe-Zieme;at turpis a pede posuere nonummy integer;27/01/2020
Laura;Succamore;BE06 8908 3856 3249;Kids;-597,75;Altenwerth, Rippin and Reynolds;libero rutrum ac lobortis vel dapibus;30/06/2020
Laura;Succamore;BE06 8908 3856 3249;Outdoors;341,95;Cronin, Sawayn and Kassulke;tristique fusce congue diam id ornare;29/06/2020
Laura;Succamore;BE06 8908 3856 3249;Health;-1.119,53;Cummerata-Romaguera;vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa;16/08/2020
Laura;Succamore;BE06 8908 3856 3249;Tools;-491,63;Davis-Leuschke;nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus;2/07/2020
Laura;Succamore;BE06 8908 3856 3249;Baby;-45,58;Kub, Gorczany and Krajcik;amet turpis elementum ligula vehicula consequat morbi a ipsum integer a;30/10/2020
Laura;Succamore;BE06 8908 3856 3249;Games;-821,1;Deckow-Rippin;consequat dui nec nisi volutpat;4/02/2020
Laura;Succamore;BE06 8908 3856 3249;Electronics;-443,71;Emmerich-Satterfield;nam congue risus semper porta volutpat quam pede lobortis ligula sit amet;24/02/2020
